"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13878","Negative Scenario - Verify search functionality with empty input","","Wed Jan 29 18:48:43 IST 2025","passed","Wed Jan 29 18:48:57 IST 2025","","Verify search functionality","Negative Scenario - Verify search functionality with empty input",""
"","14717","Negative Scenario - Verify search functionality with invalid input","","Wed Jan 29 18:48:28 IST 2025","passed","Wed Jan 29 18:48:43 IST 2025","","Verify search functionality","Negative Scenario - Verify search functionality with invalid input",""
"","16951","Positive Scenario - Verify search functionality with valid input","","Wed Jan 29 18:48:11 IST 2025","passed","Wed Jan 29 18:48:28 IST 2025","","Verify search functionality","Positive Scenario - Verify search functionality with valid input",""
"","13895","Runs Cucumber Scenarios","Default Suite","Wed Jan 29 18:48:43 IST 2025","passed","Wed Jan 29 18:48:57 IST 2025","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","brighthorizon-qatask-rsk","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","runScenario"
"","17193","Runs Cucumber Scenarios","Default Suite","Wed Jan 29 18:48:11 IST 2025","passed","Wed Jan 29 18:48:28 IST 2025","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","brighthorizon-qatask-rsk","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","runScenario"
"","14724","Runs Cucumber Scenarios","Default Suite","Wed Jan 29 18:48:28 IST 2025","passed","Wed Jan 29 18:48:43 IST 2025","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","brighthorizon-qatask-rsk","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","runScenario"
"","13242","Runs Cucumber Scenarios","Default Suite","Wed Jan 29 18:48:57 IST 2025","passed","Wed Jan 29 18:49:10 IST 2025","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","brighthorizon-qatask-rsk","com.brighthorizon.test.automation.framework.runner.SingleBrowserRunner","runScenario"
"","13232","Negative Scenario - Verify search functionality with special characters","","Wed Jan 29 18:48:57 IST 2025","passed","Wed Jan 29 18:49:10 IST 2025","","Verify search functionality","Negative Scenario - Verify search functionality with special characters",""
